,marketSegment,name,slug,ticker,totalSupply
0,Platform,Color Platform,color-platform,CLR,350000000
1,Blockchain Network,Enecuum,enecuum,ENQ,197477732.466
2,Interoperability,Cosmos,cosmos,ATOM,282321697.998832
3,Financial,ZeuxCoin,zeuxcoin,ZUC,750000000
4,Energy,Treelion,treelion,TRN,1000000000
5,Lending,Kava,kava,KAVA,150662307
6,,Synth sLINK,slink,sLINK,61278.144609
7,Lending,TrueFi,truefi-token,TRU,1441129427
8,Other,HyperExchange,hyperexchange,HX,90767835.7014
9,Trading,MargiX,margix,MGX,1000000000
10,Platform,EOS Force,eos-force,EOSC,1000000000
11,Cloud Storage,YottaChain,yottachain,YTA,4000000000
12,Stablecoin,Anchor,anchor,ANCT,759493671
13,,SEED Pool Token,pseed,pSEED,
14,Financial,AllianceBlock,allianceblock,ALBT,1000000000
15,DeFi,0x Tracker,0xtracker,ZRT,
16,Financial,Tepleton,tepleton,TEP,1000000000
17,Other,7Eleven,7eleven,7E,1000000000000
18,Blockchain Network,everiToken,everitoken,EVT,194322605.36644
19,Cryptocurrency,Yap Stone,yap-stone,YAP,1000000000
20,Cryptocurrency,Dash Cash,dash-cash,DSC,22657590.44
21,AI,Hintchain,hintchain,HINT,1000000000
22,Financial,Azbit,azbit,AZ,124724662825.0904
23,Sports,Project WITH,project-with,WIKEN,1057786429
24,Sports,Chiliz,chiliz,CHZ,8888888888
25,Cloud Computing,DeepCloud AI,deepcloud-ai,DEEP,200000000
26,DeFi,Pokeball,pokeball,POKE,4965992
27,Social,Sessia,sessia,KICKS,100000000
28,Insurance,Polkacover,polkacover,CVR,137865569
29,Prediction Market,Helena,helena,HLN,
30,Exchange,Bitfex,bitfex,BFX,216525879
31,Stablecoin,HUSD,husd,HUSD,258855080.36757496
32,Stablecoin,Fei USD,fei-protocol,FEI,426116732.6917724
33,Advertising,DAD,dad-chain,DAD,1000000000
34,Cryptocurrency,MeconCash,meconcash,MCH,1000000000
35,Exchange,GateToken,gatechain-token,GT,300000000
36,DeFi,Augmint,augmint,AUG,
37,Cryptocurrency,MB8 Coin,mb8-coin,MB8,162318938.73964253
38,Other,Swapcoinz,swapcoinz,SPAZ,30000000
39,Cryptocurrency,ChronoCoin,chronocoin,CRN,5680000000
40,DeFi,Nitrogen Network,nitrogen,NGN,
41,DeFi,Totle,totle,TTL,
42,Social,D Community,d-community,DILI,10000000000
43,DeFi,Ash,ash,ASH,
44,Other,LINKA,linka,LINKA,2000000000
45,DeFi,Poketto,poketto,PKT,
46,AI,Tesra,tesra,TSR,10000000000
47,Lending,INLOCK,inlock,ILK,4400000000
48,DeFi,InstaDApp,instadapp,IDA,
49,DeFi,XVIX,xvix,XVIX,177820
50,Ethereum,SuperRare,superrare,RARE,1000000000
51,Marketplace,CryptoBossCoin,cryptobosscoin,CBC,23277.81
52,Exchange,CoinHe Token,coinhe-token,CHT,200000000
53,Blockchain Network,Flow,flow,FLOW,1378211739
54,IoT,Xensor,xensor,XSR,4800000000
55,Ethereum,Stake DAO,stake-dao,SDT,41600000
56,DeFi,FiatDex Gateway,fiatdex-gateway,FDG,
57,Bitcoin,Lightning Network,lightning-network,LNN,
58,DeFi,Zerion,zerion,ZRN,
59,Exchange,ALP Coin,alp-coin,ALP,100000000
60,DeFi,Nuo Network,nuo,NUO,
61,Jobs,Braintrust,BTRST,BTRST,250000000
62,DeFi,UMA,uma,UMA,105157061.72013918
63,Advertising,BenePit Protocol,benepit-protocol,BNP,30000000000
64,DeFi,Set Protocol,set-protocol,SPX,
65,Cryptocurrency,Litecoin,litecoin,LTC,84000000
66,Privacy,Typhoon Cash,typhoon-cash,PHOON,30000
67,DeFi,Razor Network,razor,RZR,
68,DeFi,Veil,veil,VEL,
69,,Snax,snax,SNAX,
70,Blockchain Service,PegaSys,pegasys,PSS,
71,DeFi,Chintai,chintai,CHN,
72,,Coinzo Token,coinzo,CNZ,
73,DeFi,Worbli,worbli,WBL,
74,DeFi,MARKET Protocol,market-protocol,MPX,
75,Platform,BlockMason Credit Protocol,blockmason,BCPT,116158667
76,Decentralized Exchange,JulSwap,julswap,JULD,799383875.3500402
77,,Synth sBCH,sbch,sBCH,
